GISJOIN,STATE,STATEFP,STATENH,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A00AA1870,A00AA1880,A00AA1890,A00AA1900,A00AA1910,A00AA1920,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
"G010","Alabama","01","010",,,,127901,309527,590756,771623,964201,996992,1262505,1513017,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,5024279
"G020","Alaska","02","020",,,,,,,,,,,,,,,,,,226167,300382,401851,550043,626932,710231,733391
"G025","Alaska Territory",,"025",,,,,,,,,,33426,32052,63592,64356,55036,59278,72524,128643,,,,,,,
"G040","Arizona","04","040",,,,,,,,,,,,,,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,6392017,7151502
"G045","Arizona Territory",,"045",,,,,,,,,9658,40440,59620,122931,204354,,,,,,,,,,,
"G050","Arkansas","05","050",,,,,,97574,209897,435450,484471,802525,1128179,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918,3011524
"G055","Arkansas Territory",,"055",,,,14273,30388,,,,,,,,,,,,,,,,,,,
"G060","California","06","060",,,,,,,92597,379994,560247,864694,1208130,1485053,2377549,3426861,5677251,6907387,10586224,15717204,19953134,23667902,29760021,33871648,37253956,39538223
"G080","Colorado","08","080",,,,,,,,,,194327,412198,539700,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196,5773714
"G085","Colorado Territory",,"085",,,,,,,,34277,39864,,,,,,,,,,,,,,,
"G090","Connecticut","09","090",237655,251002,261942,275248,297675,309978,370792,460147,537454,622700,746258,908420,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097,3605944
"G095","Dakota Territory",,"095",,,,,,,,4837,14181,135177,,,,,,,,,,,,,,
"G100","Delaware","10","100",59096,64273,72674,72749,76748,78085,91532,112216,125015,146608,168493,184735,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934,989948
"G110","District of Columbia","11","110",,14093,24023,33039,39834,43712,51687,75080,131700,177624,230392,278718,331069,437571,486869,663091,802178,763956,756510,638333,606900,572059,601723,689545
"G120","Florida","12","120",,,,,,,87445,140424,187748,269493,391422,528542,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310,21538187
"G125","Florida Territory",,"125",,,,,34730,54477,,,,,,,,,,,,,,,,,,
"G130","Georgia","13","130",82548,162686,252433,340989,516823,691392,906185,1057286,1184109,1542180,1837353,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653,10711908
"G150","Hawaii","15","150",,,,,,,,,,,,,,,,,,632772,768561,964691,1108229,1211537,1360301,1455271
"G155","Hawaii Territory",,"155",,,,,,,,,,,,154001,191909,255881,368336,422770,499794,,,,,,,
"G160","Idaho","16","160",,,,,,,,,,,84385,161772,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1567582,1839106
"G165","Idaho Territory",,"165",,,,,,,,,14999,32610,,,,,,,,,,,,,,
"G170","Illinois","17","170",,,,55211,157445,476183,851470,1711951,2539891,3077871,3826351,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632,12812508
"G175","Illinois Territory",,"175",,,12282,,,,,,,,,,,,,,,,,,,,,
"G178","Indian Territory",,"178",,,,,,,,,,,,392060,,,,,,,,,,,,
"G180","Indiana","18","180",,,,147178,343031,685866,988416,1350428,1680637,1978301,2192404,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802,6785528
"G185","Indiana Territory",,"185",,5641,24520,,,,,,,,,,,,,,,,,,,,,
"G190","Iowa","19","190",,,,,,,192214,674913,1194020,1624615,1911896,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355,3190369
"G195","Iowa Territory",,"195",,,,,,43112,,,,,,,,,,,,,,,,,,
"G200","Kansas","20","200",,,,,,,,,364399,996096,1427096,1470495,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2853118,2937880
"G205","Kansas Territory",,"205",,,,,,,,107206,,,,,,,,,,,,,,,,
"G210","Kentucky","21","210",,220955,406511,564317,687917,779828,982405,1155684,1321011,1648690,1858635,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4339367,4505836
"G220","Louisiana","22","220",,,,153407,215739,352411,517762,708002,726915,939946,1118587,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4533372,4657757
"G225","Louisiana Territory",,"225",,,20845,,,,,,,,,,,,,,,,,,,,,
"G230","Maine","23","230",,,,298335,399455,501793,583169,628279,626915,648936,661086,694466,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361,1362359
"G240","Maryland","24","240",319728,341548,380546,407350,447040,470019,583034,687049,780894,934943,1042390,1188044,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5773552,6177224
"G250","Massachusetts","25","250",475199,574564,700745,523287,610408,737699,994514,1231066,1457351,1783085,2238943,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629,7029917
"G260","Michigan","26","260",,,,,,212267,397654,749113,1184059,1636937,2093889,2420982,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,9883640,10077331
"G265","Michigan Territory",,"265",,,4762,8896,31639,,,,,,,,,,,,,,,,,,,
"G270","Minnesota","27","270",,,,,,,,172023,439706,780773,1301826,1751394,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5303925,5706494
"G275","Minnesota Territory",,"275",,,,,,,6077,,,,,,,,,,,,,,,,,
"G280","Mississippi","28","280",,,,75448,136621,375651,606526,791305,827922,1131597,1289600,1551270,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2967297,2961279
"G285","Mississippi Territory",,"285",,8850,40352,,,,,,,,,,,,,,,,,,,,,
"G290","Missouri","29","290",,,,,140455,383702,682044,1182012,1721295,2168380,2679184,3106665,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5988927,6154913
"G295","Missouri Territory",,"295",,,,66586,,,,,,,,,,,,,,,,,,,,
"G300","Montana","30","300",,,,,,,,,,,132159,243329,376053,548889,537606,559456,591024,674767,694409,786690,799065,902195,989415,1084225
"G305","Montana Territory",,"305",,,,,,,,,20595,39159,,,,,,,,,,,,,,
"G310","Nebraska","31","310",,,,,,,,,122993,452402,1058910,1066300,1192214,1296372,1377963,1315834,1325510,1411330,1483493,1569825,1578385,1711263,1826341,1961504
"G315","Nebraska Territory",,"315",,,,,,,,28841,,,,,,,,,,,,,,,,
"G320","Nevada","32","320",,,,,,,,,42491,62266,45761,42335,81875,77407,91058,110247,160083,285278,488738,800493,1201833,1998257,2700551,3104614
"G325","Nevada Territory",,"325",,,,,,,,6857,,,,,,,,,,,,,,,,
"G330","New Hampshire","33","330",141899,183858,214460,244161,269328,284574,317976,326073,318300,346991,376530,411588,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1316470,1377529
"G340","New Jersey","34","340",184139,211149,245562,277575,320823,373306,489555,672035,906096,1131116,1444933,1883669,2537167,3155900,4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8791894,9288994
"G350","New Mexico","35","350",,,,,,,,,,,,,,360350,423317,531818,681187,951023,1016000,1302894,1515069,1819046,2059179,2117522
"G355","New Mexico Territory",,"355",,,,,,,61547,93516,91874,119565,153593,195310,327301,,,,,,,,,,,
"G360","New York","36","360",340241,589051,959049,1372812,1918608,2428921,3097394,3880735,4382759,5082871,5997853,7268894,9113614,10385228,12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19378102,20201249
"G370","North Carolina","37","370",395005,478103,555500,638829,737987,753419,869039,992622,1071361,1399750,1617947,1893810,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,9535483,10439388
"G380","North Dakota","38","380",,,,,,,,,,,182719,319146,577056,646872,680845,641935,619636,632446,617761,652717,638800,642200,672591,779094
"G385","Northwest Territory",,"385",,45365,,,,,,,,,,,,,,,,,,,,,,
"G390","Ohio","39","390",,,230760,581434,937903,1519467,1980329,2339511,2665260,3198062,3672316,4157545,4767121,5759394,6646697,6907612,7946627,9706398,10652017,10797630,10847115,11353140,11536504,11799448
"G400","Oklahoma","40","400",,,,,,,,,,,,,1657155,2028283,2396040,2336434,2233351,2328284,2559229,3025290,3145585,3450654,3751351,3959353
"G405","Oklahoma Territory",,"405",,,,,,,,,,,61834,398331,,,,,,,,,,,,
"G410","Oregon","41","410",,,,,,,,52465,90923,174768,313767,413536,672765,783389,953786,1089684,1521341,1768687,2091385,2633105,2842321,3421399,3831074,4237256
"G413","Oregon Territory",,"413",,,,,,,13294,,,,,,,,,,,,,,,,,
"G417","Orleans Territory",,"417",,,76556,,,,,,,,,,,,,,,,,,,,,
"G420","Pennsylvania","42","420",433611,602365,810091,1049458,1348233,1724033,2311786,2906215,3521951,4282891,5258014,6302115,7665111,8720018,9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12702379,13002700
"G440","Rhode Island","44","440",69112,69122,76931,83059,97199,108830,147545,174620,217353,276531,345506,428556,542610,604397,687497,713346,791896,859488,946725,947154,1003464,1048319,1052567,1097379
"G450","South Carolina","45","450",249073,345591,415115,502741,581185,594398,668507,703708,705606,995577,1151149,1340316,1515400,1683724,1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4625364,5118425
"G460","South Dakota","46","460",,,,,,,,,,,328808,401570,583888,636547,692849,642961,652740,680514,665507,690768,696004,754844,814180,886667
"G465","Southwest Territory",,"465",35691,,,,,,,,,,,,,,,,,,,,,,,
"G470","Tennessee","47","470",,105602,261727,422813,681904,829210,1002717,1109801,1258520,1542359,1767518,2020616,2184789,2337885,2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,6346105,6910840
"G480","Texas","48","480",,,,,,,212592,604215,818579,1591749,2235523,3048710,3896542,4663228,5824715,6414824,7711194,9579678,11196730,14229191,16986510,20851820,25145561,29145505
"G490","Utah","49","490",,,,,,,,,,,,276749,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885,3271616
"G495","Utah Territory",,"495",,,,,,,11380,40273,86786,143963,207905,,,,,,,,,,,,,
"G500","Vermont","50","500",85341,154465,217895,235764,280652,291948,314120,315098,330551,332286,332422,343641,355956,352428,359611,359231,377747,389881,444330,511456,562758,608827,625741,643077
"G510","Virginia","51","510",821287,880200,974600,1065379,1211405,1239797,1421661,1596318,1225163,1512565,1655980,1854184,2061612,2309187,2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,8001024,8631393
"G530","Washington","53","530",,,,,,,,,,,349390,518103,1141990,1356621,1563396,1736191,2378963,2853214,3409169,4132156,4866692,5894121,6724540,7705281
"G535","Washington Territory",,"535",,,,,,,,11594,23955,75116,,,,,,,,,,,,,,
"G540","West Virginia","54","540",,,,,,,,,442014,618457,762794,958800,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1949644,1793477,1808344,1852994,1793716
"G550","Wisconsin","55","550",,,,,,,305391,775881,1054670,1315497,1686880,2069042,2333860,2632067,2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5686986,5893718
"G555","Wisconsin Territory",,"555",,,,,,30945,,,,,,,,,,,,,,,,,,
"G560","Wyoming","56","560",,,,,,,,,,,60705,92531,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,563626,576851
"G565","Wyoming Territory",,"565",,,,,,,,,9118,20789,,,,,,,,,,,,,,
"G720","Puerto Rico","72","720",,,,,,,,,,,,,,,,,,,,,,,3725789,3285874
"G999","Persons in the Military",,"999",,,,,,,,,,,,91219,,,,,,,,,,,,