"year","denomination","membership","received_exam","received_certificate","received_unspecified","baptisms_adults","baptisms_infants","baptisms_unspecified","sunday_school_members","churches","churches_organized","churches_received_other_denominations","churches_dismissed_other_denominations","churches_dissolved","ministers_received_other_denominations","ministers_dismissed_other_denominations","ministers_deceased","ministers","candidates","licentiates","licensures","ordinations","minister_installations","minister_dissolutions","elders","deacons","members_dismissed_dropped","members_deceased","members_dismissed_by_certificate","members_reserve_suspended_roll","members_absentees","members_restored","members_resident","members_nonresident","manses","every_member_plan_churches"
1826,"Presbyterians",127440,NA,NA,NA,NA,NA,12846,NA,1819,NA,NA,NA,NA,NA,NA,NA,1127,204,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1827,"Presbyterians",135285,NA,NA,12938,2965,10229,NA,NA,1887,NA,NA,NA,NA,NA,NA,NA,1214,229,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1828,"Presbyterians",146308,NA,NA,15095,3389,10790,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,1285,242,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1829,"Presbyterians",162816,14846,3155,NA,3982,12171,NA,NA,2070,NA,NA,NA,NA,NA,NA,NA,1393,195,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1830,"Presbyterians",173329,11748,4237,NA,3255,12202,NA,NA,2158,NA,NA,NA,NA,NA,NA,NA,1491,228,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1831,"Presbyterians",182017,15357,4997,NA,4390,12198,NA,NA,2253,NA,NA,NA,NA,NA,NA,NA,1584,215,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1832,"Presbyterians",217348,34160,6886,NA,9650,13246,NA,NA,2381,NA,NA,NA,NA,NA,NA,NA,1730,220,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1833,"Presbyterians",233580,23546,7252,NA,6950,14035,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,1855,229,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,"Presbyterians",247964,20296,8145,NA,5738,13004,NA,NA,2648,NA,NA,NA,NA,NA,NA,NA,1914,185,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,"Presbyterians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1836,"Presbyterians",219126,11512,7737,NA,2729,11089,NA,NA,2807,NA,NA,NA,NA,NA,NA,NA,1972,250,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,"Presbyterians",220557,11580,9315,NA,3031,11697,NA,NA,2865,NA,NA,NA,NA,NA,NA,NA,2140,244,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,"Old School Branch",177665,9562,7947,NA,2692,10164,NA,NA,2343,NA,NA,NA,NA,NA,NA,NA,1690,228,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,"Old School Branch",128043,6377,4127,NA,1644,7712,NA,NA,1823,NA,NA,NA,NA,NA,NA,NA,1243,175,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,"Old School Branch",126583,6944,4200,NA,1741,7844,NA,NA,1763,NA,NA,NA,NA,NA,NA,NA,1221,199,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1841,"Old School Branch",134443,7624,4484,NA,1842,8365,NA,NA,1911,NA,NA,NA,NA,NA,NA,23,1304,202,195,63,50,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,"Old School Branch",140433,9944,4770,NA,2748,9567,NA,NA,1904,44,NA,NA,NA,NA,NA,21,1316,229,192,64,68,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,"Old School Branch",159137,16416,5154,NA,4363,10625,NA,NA,2092,37,6,4,NA,10,7,NA,1434,314,183,58,51,72,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,"Old School Branch",166487,12068,5388,NA,3287,10996,NA,NA,2156,42,NA,NA,NA,8,4,NA,1523,364,203,64,69,84,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,"Old School Branch",171879,7329,5076,NA,1929,9608,NA,NA,2229,55,NA,NA,NA,11,10,NA,1562,346,224,69,64,76,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,"Old School Branch",174714,7792,5733,NA,2036,9677,NA,NA,2297,45,NA,NA,NA,14,4,23,1647,339,218,72,78,87,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,"Old School Branch",179453,7602,5673,NA,1794,9342,NA,NA,2376,44,NA,NA,NA,15,7,23,1713,343,231,82,64,72,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,"Old School Branch",192022,8851,6184,NA,2338,9837,NA,NA,2459,60,NA,NA,NA,27,5,19,1803,373,250,71,61,76,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,"Old School Branch",200830,8976,6351,NA,2412,9895,NA,NA,2512,55,NA,NA,NA,13,5,32,1860,364,252,72,62,91,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,"Old School Branch",207254,10358,7065,NA,2772,10372,NA,NA,2595,83,NA,NA,NA,17,11,26,1926,360,234,60,64,100,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,"Old School Branch",210306,10852,7892,NA,2918,10994,NA,NA,2675,81,7,1,4,28,9,29,2027,381,237,81,87,116,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,"Old School Branch",210414,9728,7541,NA,2549,11006,NA,NA,2733,75,2,NA,3,6,6,34,2039,353,229,71,72,111,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853,"Old School Branch",219263,11846,8180,NA,2942,11644,NA,NA,2879,81,7,1,6,12,8,23,2139,363,232,78,74,118,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,"Old School Branch",225404,13433,8797,NA,3597,12041,NA,NA,2976,92,9,NA,11,23,11,41,2203,390,235,63,83,160,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,"Old School Branch",231404,13085,9386,NA,3433,11734,NA,NA,3079,77,NA,NA,7,15,7,48,2261,435,237,77,76,120,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,"Old School Branch",233755,12322,9266,NA,3189,11921,NA,102544,3146,85,NA,NA,24,31,5,38,2320,482,240,102,87,155,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,"Old School Branch",244825,13296,9719,NA,3376,13007,NA,119769,3251,109,NA,NA,19,33,9,46,2411,452,257,115,107,199,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,"Old School Branch",259335,20792,10558,NA,5170,13984,NA,136715,3324,109,9,NA,26,28,7,46,2468,468,256,121,102,171,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,"Old School Branch",279630,23945,10879,NA,6672,16194,NA,156121,3487,118,23,2,15,42,6,31,2577,493,297,132,91,189,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"Old School Branch",292927,17899,11316,NA,5156,15631,NA,176422,3531,124,27,2,37,55,14,37,2656,534,338,166,114,166,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,"Old School Branch",300814,13680,9174,NA,3679,13436,NA,166112,3684,107,4,2,19,24,13,29,2767,545,369,149,107,141,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,"Old School Branch",303289,8804,6816,NA,2282,10372,NA,149096,3686,36,9,3,14,12,8,22,2859,544,363,94,88,117,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,"Old School Branch",227575,8781,6535,NA,2165,10194,NA,147974,2546,29,6,8,13,10,11,27,2205,399,288,82,91,100,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,"Old School Branch",231960,9250,7016,NA,2380,9801,NA,159089,2626,38,8,3,12,11,11,34,2265,366,292,91,95,121,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,"Old School Branch",232450,10540,8316,NA,2821,9692,NA,163574,2629,46,3,2,23,14,10,64,2301,319,266,103,94,149,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,"Old School Branch",239306,17937,10158,NA,5003,10006,NA,179703,2608,50,8,2,20,22,19,37,2294,324,255,103,93,145,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,"Old School Branch",246350,18808,13074,NA,5266,10269,NA,195023,2622,85,11,6,37,34,24,36,2302,312,254,92,101,180,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,"Old School Branch",252555,18486,12227,NA,5191,11212,NA,221340,2737,102,11,4,27,43,46,42,2330,326,223,97,90,203,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,"Old School Branch",258903,15189,11982,NA,4236,11333,NA,234089,2740,95,5,10,25,40,21,36,2381,376,187,85,93,172,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,"New School Branch",100850,4691,4067,NA,1630,4426,NA,NA,1286,NA,NA,NA,NA,NA,NA,NA,1181,43,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,"New School Branch",102060,7421,4180,NA,NA,NA,NA,NA,1375,NA,NA,NA,NA,NA,NA,NA,1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1841,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,"New School Branch",120645,20715,8465,NA,NA,NA,NA,NA,1496,NA,NA,NA,NA,NA,NA,NA,1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,"New School Branch",145416,13062,9485,NA,3562,9679,NA,NA,1581,NA,NA,NA,NA,NA,NA,NA,1430,89,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,"New School Branch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,"New School Branch",139047,10190,9509,NA,2812,7864,NA,NA,1555,NA,NA,NA,NA,NA,NA,NA,1453,58,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,"New School Branch",139797,5450,3945,NA,1714,4096,NA,NA,1568,NA,NA,NA,NA,NA,NA,NA,1473,60,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,"New School Branch",140076,5699,4203,NA,1607,4126,NA,NA,1579,NA,NA,NA,NA,NA,NA,NA,1490,64,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,"New School Branch",140652,5816,4440,NA,1617,3931,NA,NA,1602,NA,NA,NA,NA,NA,NA,NA,1527,75,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853,"New School Branch",140452,6174,4760,NA,1715,4032,NA,NA,1626,NA,NA,NA,NA,NA,NA,NA,1570,199,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,"New School Branch",141477,5770,5055,NA,1779,3873,NA,NA,1661,NA,NA,NA,NA,NA,NA,NA,1562,198,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,"New School Branch",143029,5816,4890,NA,1705,3924,NA,NA,1659,NA,NA,NA,NA,NA,NA,NA,1567,238,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,"New School Branch",138760,5704,4730,NA,1645,3394,NA,NA,1677,NA,NA,NA,NA,NA,NA,NA,1574,219,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,"New School Branch",139115,5558,4960,NA,1665,3798,NA,NA,1679,NA,NA,NA,NA,NA,NA,NA,1595,248,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,"New School Branch",143510,9128,5313,NA,2815,3786,NA,NA,1687,NA,NA,NA,NA,NA,NA,NA,1612,277,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,"New School Branch",137990,10705,4832,NA,3550,4308,NA,NA,1542,NA,NA,NA,NA,NA,NA,NA,1545,370,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"New School Branch",134993,5171,4414,NA,1690,3506,NA,NA,1482,NA,NA,NA,NA,NA,NA,NA,1523,300,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,"New School Branch",134760,4800,4317,NA,1577,3326,NA,NA,1478,NA,NA,NA,NA,NA,NA,NA,1558,288,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,"New School Branch",135454,3995,3852,NA,1276,3205,NA,NA,1466,NA,NA,NA,NA,NA,NA,NA,1555,244,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
