"year","denomination","membership","received_exam","received_certificate","received_unspecified","baptisms_adults","baptisms_infants","baptisms_unspecified","sunday_school_members","churches","churches_organized","churches_received_other_denominations","churches_dismissed_other_denominations","churches_dissolved","ministers_received_other_denominations","ministers_dismissed_other_denominations","ministers_deceased","ministers","candidates","licentiates","licensures","ordinations","minister_installations","minister_dissolutions","elders","deacons","members_dismissed_dropped","members_deceased","members_dismissed_by_certificate","members_reserve_suspended_roll","members_absentees","members_restored","members_resident","members_nonresident","manses","every_member_plan_churches"
1863,"New School Branch",135894,4744,4079,NA,1556,3191,NA,NA,1454,NA,NA,NA,NA,NA,NA,NA,1616,191,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,"New School Branch",138074,5980,4354,NA,2093,3692,NA,NA,1442,NA,NA,NA,NA,NA,NA,NA,1644,175,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,"New School Branch",143645,6685,5325,NA,2336,3360,NA,112761,1479,NA,NA,NA,NA,NA,NA,NA,1694,187,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,"New School Branch",150401,10289,6949,NA,3455,3933,NA,143639,1528,NA,NA,NA,NA,NA,NA,NA,1739,215,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,"New School Branch",161539,13253,7636,NA,4788,4387,NA,163242,1560,NA,NA,NA,NA,NA,NA,NA,1870,273,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,"New School Branch",168932,10891,8737,NA,3805,4967,NA,184687,1590,NA,NA,NA,NA,NA,NA,NA,1800,290,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,"New School Branch",172560,9707,8046,NA,3509,4787,NA,192264,1631,NA,NA,NA,NA,NA,NA,NA,1848,303,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,"Reunited Presbyterians",446561,32003,21447,NA,10122,16476,NA,448857,4526,133,14,10,33,44,16,73,4238,541,338,141,93,247,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,"Reunited Presbyterians",455378,27770,22178,NA,8585,17420,NA,479817,4616,168,19,1,48,48,16,78,4346,711,321,128,103,249,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,"Reunited Presbyterians",468164,28758,21619,NA,8825,16781,NA,485762,4730,188,10,12,58,58,35,79,4441,767,323,170,142,401,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,"Reunited Presbyterians",472023,26698,20266,NA,8456,16688,NA,482622,4802,170,6,8,56,75,23,91,4534,770,348,156,135,414,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,"Reunited Presbyterians",495634,36971,23096,NA,11682,18838,NA,516971,4946,174,11,3,63,55,26,85,4597,767,309,140,159,354,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875,"Reunited Presbyterians",506034,32059,20385,NA,10646,17694,NA,520452,4999,128,7,9,54,49,23,76,4706,676,304,167,157,336,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,"Reunited Presbyterians",535210,48240,22493,NA,15753,18987,NA,555347,5077,113,3,6,58,53,27,85,4744,705,324,159,137,255,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,"Reunited Presbyterians",557674,43068,20702,NA,15263,18092,NA,581606,5153,106,2,2,53,59,32,97,4801,672,321,152,133,240,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,"Reunited Presbyterians",567855,32277,21683,NA,11610,19226,NA,599882,5269,164,6,2,47,49,21,79,4901,636,331,178,157,239,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,"Reunited Presbyterians",574486,29196,20623,NA,10018,18501,NA,614774,5415,160,5,1,36,58,17,97,4938,614,306,137,142,285,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,"Reunited Presbyterians",578671,26838,22148,NA,9232,18960,NA,631952,5489,159,3,1,48,46,23,76,5044,600,294,152,158,377,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1881,"Reunited Presbyterians",581401,25344,21635,NA,8174,17489,NA,633564,5598,90,8,0,56,68,32,108,5086,622,301,157,144,286,242,16601,4597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1882,"Reunited Presbyterians",592128,29389,24651,NA,9678,19026,NA,654051,5744,182,8,1,50,54,28,98,5143,626,301,159,158,306,265,18584,5643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,"Reunited Presbyterians",600695,32132,24677,NA,10397,17728,NA,663765,5858,165,4,3,66,64,22,89,5218,678,282,157,157,329,287,18986,5876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,"Reunited Presbyterians",615942,34938,26801,NA,11942,19483,NA,687269,5973,168,3,1,63,85,29,93,5341,733,275,126,150,402,295,19968,6287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1885,"Reunited Presbyterians",644025,42972,27516,NA,15191,21012,NA,720059,6093,177,8,1,68,81,19,104,5474,839,322,161,130,420,268,20602,6472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1886,"Reunited Presbyterians",661809,51177,21212,NA,18474,21616,NA,743518,6281,165,3,1,76,69,29,101,5546,906,337,188,154,361,306,21212,6676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887,"Reunited Presbyterians",696767,53886,31229,NA,20114,23469,NA,771827,6436,228,3,2,78,88,38,130,5654,986,357,201,188,439,322,21831,7085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1888,"Reunited Presbyterians",722071,51062,34322,NA,18799,23869,NA,793442,6543,206,11,6,88,89,30,123,5789,997,314,182,210,486,310,22434,7210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1889,"Reunited Presbyterians",753749,55255,36255,NA,19547,24566,NA,843188,6727,236,26,2,67,105,33,98,5936,1124,398,269,226,437,361,23259,7450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,"Reunited Presbyterians",775903,49302,35370,NA,17471,25187,NA,867463,6894,222,6,5,65,82,40,125,6128,1235,403,237,211,480,356,23809,7718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,"Reunited Presbyterians",806796,59650,37935,NA,21576,26121,NA,883680,7070,208,7,4,67,90,35,131,6223,1317,374,274,245,488,380,24475,7870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,"Reunited Presbyterians",830179,57478,38608,NA,20839,25762,NA,894628,7208,196,6,3,65,91,40,138,6331,1280,431,276,240,464,366,24790,8099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1893,"Reunited Presbyterians",855089,59660,39298,NA,21738,26247,NA,909062,7292,187,5,7,75,127,44,129,6509,1300,435,269,249,525,420,25399,8356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,"Reunited Presbyterians",895997,74826,41633,NA,28212,28051,NA,951199,7387,168,10,11,94,105,41,123,6641,1434,458,336,261,488,364,25859,8681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,"Reunited Presbyterians",922904,67938,38734,NA,25729,27731,NA,994793,7496,176,11,2,74,82,32,150,6797,1477,474,315,273,502,374,26590,9058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,"Reunited Presbyterians",943716,64806,38489,NA,24484,28459,NA,1006391,7573,149,6,1,84,80,56,131,6942,1508,455,321,286,558,427,27025,9174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,"Reunited Presbyterians",960911,57011,37487,NA,21596,27456,NA,1024462,7631,162,3,1,71,62,35,128,7129,1433,477,331,313,535,429,27874,9551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,"Reunited Presbyterians",975877,57041,37125,NA,21574,27768,NA,1034164,7635,124,4,7,63,54,35,133,7190,1161,469,329,290,493,389,28000,9696,56402,11405,NA,NA,NA,NA,NA,NA,NA,NA
1899,"Reunited Presbyterians",983907,48259,35050,NA,17682,24998,NA,1029229,7657,108,7,1,65,57,33,145,7312,1115,433,281,267,529,477,28252,9847,53871,13936,NA,NA,NA,NA,NA,NA,NA,NA
1900,"Reunited Presbyterians",1007689,57183,40090,NA,21620,26253,NA,1058051,7750,165,5,5,63,68,53,141,7467,973,380,264,286,607,482,28605,9895,60800,12508,NA,NA,NA,NA,NA,NA,NA,NA
1901,"Reunited Presbyterians",1025388,54252,40093,NA,19072,26163,NA,1058110,7779,109,6,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28764,9974,58269,13791,NA,NA,NA,NA,NA,NA,NA,NA
1902,"Reunited Presbyterians",1045338,65889,42143,NA,23279,26043,NA,1063683,7748,128,10,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28938,10274,42767,13338,NA,NA,35953,NA,NA,NA,NA,NA
1903,"Reunited Presbyterians",1067477,65797,44205,NA,24237,25646,NA,1076457,7822,142,2,3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29345,10389,NA,13704,37663,47654,NA,NA,NA,NA,NA,NA
1904,"Reunited Presbyterians",1094908,68233,46740,NA,25126,27054,NA,1084327,7933,174,5,3,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29811,10452,NA,14282,39424,50354,NA,NA,NA,NA,NA,NA
1905,"Reunited Presbyterians",1115662,66271,46095,NA,24588,27275,NA,1077105,7980,129,4,2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30205,10752,NA,14595,38143,48383,NA,NA,NA,NA,NA,NA
1906,"Reunited Presbyterians",1158662,79589,50306,NA,30973,29278,NA,1098521,8118,144,19,4,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880,11010,NA,13652,41503,47606,NA,NA,NA,NA,NA,NA
1907,"Reunited Presbyterians",1341492,80243,54735,NA,32543,30730,NA,1165170,11082,194,41,20,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36636,13333,NA,15501,47329,45131,NA,5577,NA,NA,NA,NA
1908,"Reunited Presbyterians",1300329,74829,54851,NA,29992,30033,NA,1164790,10017,170,29,6,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37424,13217,NA,15866,50595,47237,NA,5995,NA,NA,NA,NA
1909,"Reunited Presbyterians",1321386,82053,55303,NA,31476,31537,NA,1205015,9997,140,9,6,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38364,13690,NA,15107,48427,47875,NA,5679,NA,NA,NA,NA
1910,"Reunited Presbyterians",1339000,75442,54298,NA,29271,32007,NA,1211527,10011,202,12,15,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38840,14036,NA,15821,49280,48956,NA,5903,NA,NA,NA,NA
1911,"Reunited Presbyterians",1354453,72880,53582,NA,27951,30296,NA,1205130,10051,182,4,0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39517,14143,NA,16044,48622,54143,NA,6280,NA,NA,NA,NA
1912,"Reunited Presbyterians",1380058,79432,55849,NA,30011,31594,NA,1232847,10030,133,6,3,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40046,14611,NA,16311,48511,51266,NA,6430,NA,NA,NA,NA
1913,"Reunited Presbyterians",1415872,88808,61366,NA,35933,34855,NA,1265439,10090,179,9,7,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40684,14794,NA,16250,50103,50927,NA,7206,NA,NA,NA,NA
1914,"Reunited Presbyterians",1458085,93467,59390,NA,36916,34919,NA,1318628,10130,179,4,2,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41612,15295,NA,16594,51212,50484,NA,8355,NA,NA,3601,NA
1915,"Reunited Presbyterians",1513240,116064,63552,NA,43740,38905,NA,1375875,9996,133,5,4,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42251,15545,NA,16695,52405,49756,NA,8433,NA,NA,4107,NA
1916,"Reunited Presbyterians",1560009,104526,60189,NA,39531,37839,NA,1412387,9953,121,4,3,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43039,16370,NA,18761,51886,55524,NA,8320,NA,NA,4424,NA
1917,"Reunited Presbyterians",1604045,96792,62209,NA,36184,38115,NA,1455466,9968,94,2,9,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43758,16963,NA,18685,54075,55809,NA,8312,NA,NA,4518,NA
1918,"Reunited Presbyterians",1631748,88521,64493,NA,32834,37465,NA,1386928,9928,85,7,8,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43648,16852,NA,18933,53466,54397,NA,7645,NA,NA,4579,NA
1919,"Reunited Presbyterians",1603033,62014,51316,NA,23758,34249,NA,1319416,9805,50,16,5,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43415,16925,NA,25396,46578,69824,NA,7141,NA,NA,4648,NA
1920,"Reunited Presbyterians",1637105,99722,73779,NA,35515,38819,NA,1351260,9769,74,3,4,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44025,17178,NA,19973,60846,61649,NA,9388,NA,NA,4650,NA
1921,"Reunited Presbyterians",1722361,122231,84858,NA,43015,46296,NA,1433292,9842,80,6,7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45581,17714,NA,19058,63386,61157,NA,12345,NA,NA,4550,NA
1922,"Reunited Presbyterians",1756918,93259,65324,NA,35327,42311,NA,1502616,9710,109,10,13,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46541,18362,NA,19919,54179,55050,NA,11195,NA,NA,NA,NA
1923,"Reunited Presbyterians",1803593,106587,70359,NA,37646,45038,NA,1499890,9706,82,9,6,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47703,19089,NA,21156,57388,58708,NA,10874,NA,NA,NA,NA
1924,"Reunited Presbyterians",1830928,87632,66795,NA,32489,40996,NA,1548047,9678,66,4,1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46340,19632,NA,21213,53374,61248,NA,11109,1696924,134004,NA,6081
1925,"Reunited Presbyterians",1873859,107691,74493,NA,37318,45537,NA,1596259,9649,72,3,2,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47986,19324,NA,21707,59437,60680,NA,12249,1737657,136202,NA,6352
1926,"Reunited Presbyterians",1909111,111715,71959,NA,35560,44057,NA,1580780,9565,53,0,6,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48416,20498,NA,26370,61328,65133,NA,12055,1778680,130431,NA,6342
